codigo_inmueble,sector,barrio,estrato,valor_arriendo,valor_administracion,area_construida,area_privada,antiguedad,habitaciones,banos,parqueadero,url
359-M4437421,Chapinero Alto,Marly Chapinero,4,7623530,1928000,184,184,Entre 10 y 20 años,1,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-marly-1-habitaciones-2-banos/359-M4437421
2941-M3670392,Normandía,Normandia,4,1300000,280000,56,54,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-normandia-2-habitaciones-2-banos-1-garajes/2941-M3670392
2214-M4489363,Cedritos,Cerros,4,1900000,220000,35,30,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-a.s.d.-1-habitaciones-1-banos/2214-M4489363
13294-M4438617,Centro y Zona Colonial,Teusaquillo Teusaquillo,4,3000000,500000,77,77,Entre 0 y 5 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-fe-2-habitaciones-2-banos-1-garajes/13294-M4438617
2361-M4438287,Cedritos,Cedritos Usaquen,4,2550000,,68,68,Entre 0 y 5 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-cedritos-2-habitaciones-2-banos-1-garajes/2361-M4438287
293-M4491235,Cedritos,Cedro Golf,4,2530000,327000,63,63,Entre 0 y 5 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-madeiras-2-habitaciones-2-banos-1-garajes/293-M4491235
350-M4489622,La Soledad,Palermo Teusaquillo,4,1250000,164000,34,34,Más de 20 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-teresita-1-habitaciones-1-banos/350-M4489622
991-M4488067,Chapinero,San Luis Teusaquillo,4,3185600,314400,79,79,Entre 5 y 10 años,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-luis-2-habitaciones-3-banos-1-garajes/991-M4488067
10323-M4487517,Chapinero Alto,Chapinero,4,3454000,546000,90,90,Más de 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-sucre-1-habitaciones-2-banos-1-garajes/10323-M4487517
164-M4487582,Colina y Alrededores,Colina Campestre,4,1600000,,44,44,Entre 5 y 10 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cantalejo-1-habitaciones-1-banos-1-garajes/164-M4487582
164-M4009099,Chapinero Alto,Chapinero Central,4,1250000,,30,30,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chapinero-central-1-habitaciones-1-banos/164-M4009099
164-M4491540,Centro y Zona Colonial,La Candelaria,4,1300000,,20,20,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-veracruz-1-habitaciones-1-banos/164-M4491540
164-M4487170,Centro Nariño,El Recuerdo,4,1650000,,45,45,Más de 20 años,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-recuerdo-2-habitaciones-1-banos/164-M4487170
183-M4487168,Chapinero Alto,Chapinero,4,3000000,490000,78,78,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-emaus-2-habitaciones-2-banos-1-garajes/183-M4487168
488-M4439051,Centro y Zona Colonial,Centro Internacional,4,1100000,200000,26,26,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-veracruz-1-habitaciones-1-banos/488-M4439051
11813-M4489462,Bogotá D.C.,Suba,4,2200000,400000,65,65,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-suba-2-habitaciones-2-banos-1-garajes/11813-M4489462
11049-M4181624,170 y Alredores,Nueva Zelandia,4,1600000,,31,31,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-nueva-zelandia-1-habitaciones-1-banos-1-garajes/11049-M4181624
11049-M4023561,Centro y Zona Colonial,Chia,4,1800000,,33,33,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-centro-administrativo-1-habitaciones-1-banos-1-garajes/11049-M4023561
11049-M4123381,Bogotá D.C.,Vereda Yerbabuena,4,2500000,,120,120,Más de 20 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-vereda-yerbabuena-2-habitaciones-2-banos-2-garajes/11049-M4123381
13436-M4182271,Bogotá D.C.,Cedritos,4,2370000,370000,70,70,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedritos-2-habitaciones-2-banos-1-garajes/13436-M4182271
359-M4489268,Chapinero Alto,Maria Cristina,4,1550000,336300,50,50,Más de 20 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-maria-cristina-2-habitaciones-1-banos-1-garajes/359-M4489268
2564-M4437194,Chapinero Alto,Chapinero Javeriana,4,2500000,,63,63,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pardo-rubio-2-habitaciones-2-banos-1-garajes/2564-M4437194
11049-M4489274,Niza Alhambra,Julio Flores,4,2374000,126000,37,37,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-julio-florez-1-habitaciones-2-banos-1-garajes/11049-M4489274
11049-M4488205,Cedritos,Cedro Salazar,4,1630000,,63,63,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-salazar-1-habitaciones-1-banos-1-garajes/11049-M4488205
3774-M2857378,Chapinero Alto,Chapinero Alto,4,1950000,195000,58,58,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pardo-rubio-1-habitaciones-1-banos/3774-M2857378
4186-M3690327,Centro Internacional,La Macarena,4,5500000,,120,120,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-izquierdo-2-habitaciones-2-banos-1-garajes/4186-M3690327
4887-I1917753,Chapinero Alto,Chapinero Alto Granada,4,2837000,563000,75,75,Entre 0 y 5 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-nueva-granada-2-habitaciones-2-banos-2-garajes/4887-I1917753
614-M4436436,Niza Alhambra,Pontevedra,4,2500000,,59,56,Entre 5 y 10 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-potosi-2-habitaciones-2-banos-2-garajes/614-M4436436
399-M4488191,Cedritos,Cedritos Usaquen,4,1800000,269700,54,49,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-narvaez-1-habitaciones-2-banos-1-garajes/399-M4488191
2214-M4487076,Colina y Alrededores,Mazuren,4,2200000,256400,70,70,Entre 5 y 10 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cantalejo-2-habitaciones-1-banos-1-garajes/2214-M4487076
343-M4487501,Salitre Modelia,Salitre,4,2300000,300000,60,60,Entre 10 y 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudad-salitre-occidental-2-habitaciones-2-banos-1-garajes/343-M4487501
164-M4176839,Normandía,Normandia,4,1500000,,60,60,Más de 20 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-normandia-occidental-2-habitaciones-1-banos-1-garajes/164-M4176839
164-M3691680,Nicolás de Federmán,Nicolas De Federman,4,1300000,200000,30,30,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-campin-occidental-1-habitaciones-1-banos/164-M3691680
698-M4488068,La Soledad,La Magdalena,4,4530000,,146,145,Remodelado,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-magdalena-2-habitaciones-1-banos-1-garajes/698-M4488068
9859-M4340747,Centro Nariño,Gran America,4,3000000,460000,66,66,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-gran-america-1-habitaciones-1-banos-1-garajes/9859-M4340747
9859-M4340641,Centro Nariño,Gran America,4,1450000,350000,35,35,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-gran-america-1-habitaciones-1-banos-1-garajes/9859-M4340641
3312-M4486557,Cedritos,Cedritos Contador Nuevo Contry,4,1800000,282000,50,50,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-cedritos-1-habitaciones-2-banos-1-garajes/3312-M4486557
73-M4240456,Chapinero Alto,Chapinero Alto,4,2040000,460000,54.7,54.7,Entre 10 y 20 años,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-maria-cristina-1-habitaciones-2-banos-2-garajes/73-M4240456
73-M4157298,Cedritos,Villas Del Mediterraneo Usaquen,4,1430000,,41,41,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-magdala-1-habitaciones-1-banos/73-M4157298
2379-M4385537,Centro Internacional,Centro Internacional,4,1753393,354388,46.7,42,Entre 10 y 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-samper-1-habitaciones-1-banos-1-garajes/2379-M4385537
3424-M4064102,Chapinero Alto,Chapinero Alto,4,2100000,,60,60,Más de 20 años,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-maria-cristina-2-habitaciones-1-banos/3424-M4064102
13436-M4365115,Cedritos,Cedritos,4,2000000,,70,70,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedritos-2-habitaciones-2-banos-1-garajes/13436-M4365115
2453-M1926392,Cedritos,Cedritos,4,2800000,10000,60,60,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-cedritos-1-habitaciones-2-banos-1-garajes/2453-M1926392
2453-M1947261,Cedritos,Cedritos,4,2800000,10000,60,60,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-cedritos-1-habitaciones-2-banos-1-garajes/2453-M1947261
272-M4434914,Colina y Alrededores,Mazuren,4,1400000,156000,30,30,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-mazuren-1-habitaciones-1-banos/272-M4434914
16175-M4482253,Castilla Marsella,Ciudad Alsacia,4,3700000,670000,110,110,Entre 10 y 20 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-alsacia-2-habitaciones-3-banos-2-garajes/16175-M4482253
2428-M4432220,Chapinero Alto,Chapinero Marly,4,2500000,,62,62,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-marly-1-habitaciones-2-banos-1-garajes/2428-M4432220
13955-M4482594,Colina y Alrededores,Mazuren,4,2150000,300000,64,64,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cantalejo-2-habitaciones-2-banos-1-garajes/13955-M4482594
847-M4484775,Cedritos,Cedritos,4,6000000,390000,78,78,Entre 5 y 10 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-narvaez-2-habitaciones-2-banos-2-garajes/847-M4484775
11013-M4485463,Cedritos,Cedritos Usaquen,4,1800000,,45.35,41.1,Entre 10 y 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-caobos-salazar-1-habitaciones-2-banos-1-garajes/11013-M4485463
11079-M4438734,Chicó,Refugio / Retiro Alto,5,4500000,741000,76,76,Entre 5 y 10 años,1,1,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-nogal-1-habitaciones-1-banos-2-garajes/11079-M4438734
488-M4439051,Centro y Zona Colonial,Centro Internacional,4,1100000,200000,26,26,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-veracruz-1-habitaciones-1-banos/488-M4439051
11813-M4346161,Bogotá D.C.,Localidad De Chapinero,5,3500000,500000,75,75,Entre 10 y 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-localidad-de-chapinero-1-habitaciones-1-banos-1-garajes/11813-M4346161
11813-M4347420,Bogotá D.C.,Localidad De Chapinero,5,5730000,770000,135,135,Entre 10 y 20 años,1,1,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-localidad-de-chapinero-1-habitaciones-1-banos-2-garajes/11813-M4347420
11813-M4489462,Bogotá D.C.,Suba,4,2200000,400000,65,65,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-suba-2-habitaciones-2-banos-1-garajes/11813-M4489462
11813-M4261059,Bogotá D.C.,Usaquen,6,4200000,,100,100,Entre 10 y 20 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-usaquen-2-habitaciones-2-banos-2-garajes/11813-M4261059
11049-M4181676,Chicó,Rionegro,6,2800000,600000,63,63,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et.-iii-2-habitaciones-2-banos-1-garajes/11049-M4181676
411-M4489337,Santa Bárbara,San Patricio,6,2800000,441600,64.24,64.24,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-1-habitaciones-2-banos-1-garajes/411-M4489337
11049-M4181624,170 y Alredores,Nueva Zelandia,4,1600000,,31,31,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-nueva-zelandia-1-habitaciones-1-banos-1-garajes/11049-M4181624
11049-M4023561,Centro y Zona Colonial,Chia,4,1800000,,33,33,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-centro-administrativo-1-habitaciones-1-banos-1-garajes/11049-M4023561
815-M4267728,Chicó,Chico Reservado,6,7700000,,122,122,Entre 5 y 10 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-3-banos-2-garajes/815-M4267728
11049-M4123381,Bogotá D.C.,Vereda Yerbabuena,4,2500000,,120,120,Más de 20 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-vereda-yerbabuena-2-habitaciones-2-banos-2-garajes/11049-M4123381
462-M4487628,Country,Recodo Del Country,5,3100000,800000,120,120,Más de 20 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-foledo-2-habitaciones-3-banos-2-garajes/462-M4487628
674-M4489535,Santa Bárbara,Chico Navarra,6,4300000,750000,100,100,Entre 5 y 10 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-2-habitaciones-3-banos-2-garajes/674-M4489535
674-M4489562,Santa Bárbara,Chico Navarra,6,4300000,750000,100,100,Entre 5 y 10 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-2-habitaciones-3-banos-2-garajes/674-M4489562
800-M3277964,Chicó,Chico Virrey,6,4200000,527000,71,71,Entre 10 y 20 años,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-1-habitaciones-2-banos-2-garajes/800-M3277964
877-M4437477,Cedritos,Bosque De Pinos I,6,7500000,1525000,176,176,Más de 20 años,2,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-sierras-del-moral-2-habitaciones-4-banos-2-garajes/877-M4437477
13436-M4182271,Bogotá D.C.,Cedritos,4,2370000,370000,70,70,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedritos-2-habitaciones-2-banos-1-garajes/13436-M4182271
800-M4183175,Santa Bárbara,Santa Barbara,6,5500000,,110,110,Entre 5 y 10 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-2-habitaciones-3-banos-2-garajes/800-M4183175
800-M3670434,Chicó,Los Rosales,6,20000000,2337000,213,213,Entre 5 y 10 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-rosales-2-habitaciones-2-banos-2-garajes/800-M3670434
359-M4489268,Chapinero Alto,Maria Cristina,4,1550000,336300,50,50,Más de 20 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-maria-cristina-2-habitaciones-1-banos-1-garajes/359-M4489268
2361-M4150706,Country,Bella Suiza Usaquen,5,2100000,,79,79,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bella-suiza-2-habitaciones-2-banos-1-garajes/2361-M4150706
661-M4438735,Santa Bárbara,Chico,5,2516000,484000,85,85,Entre 10 y 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-2-habitaciones-2-banos-1-garajes/661-M4438735
815-M4412575,Santa Bárbara,Santa Barbara,6,2200000,,50,50,Entre 10 y 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-1-banos-1-garajes/815-M4412575
438-M2705906,Country,La Carolina,6,3800000,330000,72,70,Más de 20 años,2,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-plenitud-2-habitaciones-2-banos/438-M2705906
2564-M4437194,Chapinero Alto,Chapinero Javeriana,4,2500000,,63,63,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pardo-rubio-2-habitaciones-2-banos-1-garajes/2564-M4437194
3025-M4437275,Santa Bárbara,Santa Barbara Central,6,1800000,845700,120,120,Entre 10 y 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-2-habitaciones-2-banos-1-garajes/3025-M4437275
754-M4182798,Chicó,Emaus Rosales,6,3800000,550000,90,90,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bellavista-2-habitaciones-2-banos-1-garajes/754-M4182798
5545-M4491595,Chicó,Country Virrey,5,7000000,,110,110,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-antiguo-country-2-habitaciones-2-banos-1-garajes/5545-M4491595
2587-1672871,Santa Bárbara,Santa Barbara,6,1250000,250000,47,47,Entre 10 y 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-1-habitaciones-1-banos-1-garajes/2587-1672871
883-M3410904,Chicó,Parque Virrey,6,4000000,499000,80,76,Entre 5 y 10 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-3-banos-2-garajes/883-M3410904
462-M4469014,Chicó,El Chico Virrey,5,8500000,580000,97,97,Entre 0 y 5 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-antiguo-country-2-habitaciones-2-banos-2-garajes/462-M4469014
2671-M4487330,Chicó,El Chico,6,4400000,,56,56,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-2-banos-1-garajes/2671-M4487330
5545-M4207483,Chicó,Antiguo Country Virrey,5,3500000,,77,77,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-antiguo-country-2-habitaciones-2-banos-1-garajes/5545-M4207483
11049-M4489274,Niza Alhambra,Julio Flores,4,2374000,126000,37,37,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-julio-florez-1-habitaciones-2-banos-1-garajes/11049-M4489274
11049-M4488205,Cedritos,Cedro Salazar,4,1630000,,63,63,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-salazar-1-habitaciones-1-banos-1-garajes/11049-M4488205
438-M3730013,Country,Barrio La Carolina,6,4800000,242400,70,70,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-plenitud-2-habitaciones-2-banos-1-garajes/438-M3730013
3774-M2857378,Chapinero Alto,Chapinero Alto,4,1950000,195000,58,58,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pardo-rubio-1-habitaciones-1-banos/3774-M2857378
2456-M4346295,Colina y Alrededores,Alejandria,5,2800000,275000,65,65,Entre 0 y 5 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cantalejo-2-habitaciones-2-banos-1-garajes/2456-M4346295
3340-1734305,Santa Bárbara,Unicentro Santa Barbara Amoblado Con Todo Incluido,6,2990000,,40,40,Entre 0 y 5 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-1-banos-1-garajes/3340-1734305
3436-M2909992,Chapinero Alto,El Castillo,5,1523600,376400,58,55,Entre 5 y 10 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ingemar-1-habitaciones-1-banos-1-garajes/3436-M2909992
4186-M3690327,Centro Internacional,La Macarena,4,5500000,,120,120,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-izquierdo-2-habitaciones-2-banos-1-garajes/4186-M3690327
3155-M4486961,Bogotá D.C.,Localidad Chapinero,6,4500000,,160,160,Más de 20 años,2,3,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-localidad-chapinero-2-habitaciones-3-banos-3-garajes/3155-M4486961
990-1163071,Chicó,Chico,6,3200000,900000,85,85,Entre 0 y 5 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-2-banos-2-garajes/990-1163071
13036-M4062128,Chicó,Chico Norte Iii,6,4000000,800000,98,98,Más de 20 años,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et.-iii-2-habitaciones-3-banos-1-garajes/13036-M4062128
4887-I1917753,Chapinero Alto,Chapinero Alto Granada,4,2837000,563000,75,75,Entre 0 y 5 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-nueva-granada-2-habitaciones-2-banos-2-garajes/4887-I1917753
4887-M3846816,Santa Bárbara,Molinos Del Norte,6,2645000,455000,64.71,57.05,Entre 0 y 5 años,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-1-habitaciones-2-banos-2-garajes/4887-M3846816
10312-M3878090,Santa Bárbara,Santa Bibiana,6,4100000,520000,71,71,Entre 10 y 20 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-2-habitaciones-2-banos-2-garajes/10312-M3878090
22-M4487052,Santa Bárbara,Santa Bárbara,6,2350000,550000,65,65,Entre 0 y 5 años,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-1-habitaciones-2-banos-2-garajes/22-M4487052
3038-M4259365,Chicó,Chico,6,8500000,11111,160,160,Entre 5 y 10 años,2,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-4-banos-3-garajes/3038-M4259365
3038-M4259365,Chicó,Chico,6,8500000,11111,160,160,Entre 5 y 10 años,2,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-4-banos-3-garajes/3038-M4259365
12494-M4340784,Chicó,Chico Reservado,6,10500000,1100000,124,120,Entre 5 y 10 años,2,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et.-ii-2-habitaciones-4-banos-2-garajes/12494-M4340784
2162-M3408289,Chicó,Chico Ii Sector,6,3800000,,67,60,Entre 5 y 10 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-2-habitaciones-2-banos-2-garajes/2162-M3408289
990-M4259210,Santa Bárbara,Santa Barbara Alta,6,11000000,1500000,180,180,Entre 5 y 10 años,2,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-usaquen-2-habitaciones-4-banos-3-garajes/990-M4259210
3437-M4487269,Niza Alhambra,Niza Cordoba,5,1680000,,38,38,Entre 5 y 10 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ub.-cordoba-niza-1-habitaciones-1-banos/3437-M4487269
16107-M4438761,Chicó,Rosales,6,8800000,1000000,145,145,Más de 20 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bellavista-2-habitaciones-3-banos-2-garajes/16107-M4438761
414-M4288413,Country,La Carolina Usaquen,6,3500000,,56,56,Más de 20 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-plenitud-1-habitaciones-1-banos/414-M4288413
614-M4436436,Niza Alhambra,Pontevedra,4,2500000,,59,56,Entre 5 y 10 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-potosi-2-habitaciones-2-banos-2-garajes/614-M4436436
399-M4488191,Cedritos,Cedritos Usaquen,4,1800000,269700,54,49,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-narvaez-1-habitaciones-2-banos-1-garajes/399-M4488191
464-M4033479,Chicó,Rosales,6,4000000,1000000,84,84,Entre 10 y 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-rosales-1-habitaciones-2-banos-1-garajes/464-M4033479
2214-M4487076,Colina y Alrededores,Mazuren,4,2200000,256400,70,70,Entre 5 y 10 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cantalejo-2-habitaciones-1-banos-1-garajes/2214-M4487076
2361-M4487009,Bogotá D.C.,Chico Navarra,5,3500000,,60,60,Más de 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-navarra-1-habitaciones-2-banos-1-garajes/2361-M4487009
343-M4487501,Salitre Modelia,Salitre,4,2300000,300000,60,60,Entre 10 y 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ciudad-salitre-occidental-2-habitaciones-2-banos-1-garajes/343-M4487501
617-M4188561,Chicó,Rosales,6,9000000,1000000,142,142,Entre 10 y 20 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-rosales-2-habitaciones-3-banos-2-garajes/617-M4188561
73-286021,Country,La Carolina,5,4470000,531000,90,90,Más de 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-carolina-2-habitaciones-2-banos-1-garajes/73-286021
13436-M4436719,Country,La Carolina,6,2600000,401000,54,54,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-plenitud-1-habitaciones-2-banos-1-garajes/13436-M4436719
5044-M4488523,Chicó,Virrey,6,3800000,,85,85,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-antiguo-country-2-habitaciones-2-banos-1-garajes/5044-M4488523
164-M4176839,Normandía,Normandia,4,1500000,,60,60,Más de 20 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-normandia-occidental-2-habitaciones-1-banos-1-garajes/164-M4176839
