codigo_inmueble,sector,barrio,estrato,valor_arriendo,valor_administracion,area_construida,area_privada,antiguedad,habitaciones,banos,parqueadero,url
MC4373022,Centro y Zona Colonial,Las Nieve,4,2550000,,62,62,Entre 0 y 5 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-nieves-2-habitaciones-2-banos-1-garajes/MC4373022
MC4401437,Chapinero Alto,Chapinero Alto Chapinero Alto,4,3500000,670000,96,86,Más de 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-calderon-1-habitaciones-2-banos-1-garajes/MC4401437
MC4313911,La Soledad,La,4,2650000,,58,55,Más de 20 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-soledad-2-habitaciones-1-banos-1-garajes/MC4313911
MC4287814,Chicó,Chico Reservado,6,2503000,,50,50,Entre 10 y 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-1-habitaciones-1-banos-1-garajes/MC4287814
MC4307327,Country,Lisboa Country,5,2400000,,62,59,Entre 0 y 5 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-lisboa-2-habitaciones-2-banos-2-garajes/MC4307327
MC4336567,Cedritos,Cedritos,4,1500000,,39,41.4,Más de 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-caobos-salazar-1-habitaciones-1-banos-1-garajes/MC4336567
MC4335132,Cedritos,Cedritos,4,1550000,,45.53,45.53,Más de 20 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedritos-2-habitaciones-1-banos-1-garajes/MC4335132
MC4287606,Cedritos,Cedritos,4,1950000,,57,55,Entre 5 y 10 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-cedritos-1-habitaciones-1-banos/MC4287606
MC4345916,Niza Alhambra,Pasadena Alta Santa Bárbara,5,3200000,,62.92,68.25,Entre 0 y 5 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pasadena-2-habitaciones-2-banos-1-garajes/MC4345916
MC4399803,Niza Alhambra,Bulevar Niza Santa Bárbara,5,1180000,,18,18,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-ub.-cordoba-niza-1-habitaciones-1-banos/MC4399803
MC3477637,Niza Alhambra,Polo Club,4,1400000,,25,25,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-polo-club-1-habitaciones-1-banos/MC3477637
MC3667765,Nicolás de Federmán,Puente Largo,4,1375000,275000,38,38,Entre 10 y 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-campin-occidental-1-habitaciones-1-banos-1-garajes/MC3667765
